Problem NumberWidth,Height,Number Islands,Nodes Visited,Time (ms),Max Memory (MiB)
986,90,95,5,8550,10.180908203125
987,72,72,687,4018,3.509033203125
988,63,63,332,1648,0.991943359375
989,52,51,339,2393,1.637939453125
990,92,88,30,8090,9.05078125
991,75,53,52,3950,3.863037109375
992,70,90,42,6287,6.47998046875
993,94,79,917,6329,5.6640625
994,68,72,1,4896,6.43310546875
995,74,67,35,4947,5.087158203125
996,70,79,559,5186,4.778076171875
997,75,73,18,5470,5.962890625
998,65,60,49,3887,3.760009765625
999,79,99,744,3778,2.426025390625
1000,77,59,438,4266,3.72998046875

Total Tests,Average Width,Average Height,Average Number Islands,Average Nodes Visited,Average Time (ms)
1000,74.827,74.794,319.727,4583.249,4.55104736328125
